Character,Universe
Throg,Marvel
Tigra,Marvel
Ultron,Marvel
Uncle Ben,Marvel
US Agent,Marvel
Valkyrie,Marvel
Venom,Marvel
Vision,Marvel
Vulcan,Marvel
War Machine,Marvel
Warpath,Marvel
Wasp,Marvel
White Tiger,Marvel
Wiccan,Marvel
Wolverine,Marvel
Wonder Man,Marvel
Commander Shepard,Mass Effect
Mega Man,Mega Man
Solid Snake,Metal Gear
Samus Aran,Metroid
El Mariachi,Mexico Trilogy
Talion,Middle-earth: Shadow of Mordor
Ethan Hunt,Mission: Impossible
Achilles (Myth),Mixed
Alucard (Level 0),Mixed
Ares (Myth),Mixed
Ben 10 (Alien X Full),Mixed
Bender (Bite My Shiny Metal),Mixed
Cartman (Coon),Mixed
Castlevania Dracula,Mixed
Fry (Time Travel),Mixed
Hades (Mythology),Mixed
Hellboy (Full Power),Mixed
Hercules (Myth),Mixed
Homer (Treehouse of Horror),Mixed
John Constantine (DC),Mixed
Kratos vs Zeus (Composite),Mixed
Morty (Evil Morty Prime),Mixed
Patrick (Toon Force),Mixed
Peter Griffin (Chicken Fight),Mixed
Randy (Tegridy),Mixed
Rick Sanchez (Prep),Mixed
Spawn (God Form),Mixed
SpongeBob (Toon Force),Mixed
Stewie (Time Machine),Mixed
Sypha Belnades,Mixed
Trevor Belmont,Mixed
Vilgax (Conqueror),Mixed
Zeus (Mythology),Mixed
Mob,Mob Psycho 100
Reigen Arataka,Mob Psycho 100
Ashrah,Mortal Kombat
Baraka,Mortal Kombat
Blaze,Mortal Kombat
Bo Rai Cho,Mortal Kombat
Cassie Cage,Mortal Kombat
Cetrion,Mortal Kombat
Chameleon,Mortal Kombat
Cyber Sub-Zero,Mortal Kombat
D'Vorah,Mortal Kombat
Dairou,Mortal Kombat
Darrius,Mortal Kombat
Ermac,Mortal Kombat
Ferra/Torr,Mortal Kombat
Fujin,Mortal Kombat
Geras,Mortal Kombat
Goro,Mortal Kombat
Havik,Mortal Kombat
Hotaru,Mortal Kombat
Hsu Hao,Mortal Kombat
Jacqui Briggs,Mortal Kombat
Jade,Mortal Kombat
Jax Briggs,Mortal Kombat
Johnny Cage,Mortal Kombat
Kabal,Mortal Kombat
Kano,Mortal Kombat
Kenshi,Mortal Kombat
Khameleon,Mortal Kombat
Kintaro,Mortal Kombat
Kira,Mortal Kombat
Kitana,Mortal Kombat
Kobra,Mortal Kombat
Kollector,Mortal Kombat
Kotal Kahn,Mortal Kombat
Kronika,Mortal Kombat
Kung Lao,Mortal Kombat
Li Mei,Mortal Kombat
Liu Kang,Mortal Kombat
Mavado,Mortal Kombat
Meat,Mortal Kombat
Mileena,Mortal Kombat
Mokap,Mortal Kombat
Motaro,Mortal Kombat
Nightwolf,Mortal Kombat
Nitara,Mortal Kombat
Noob Saibot,Mortal Kombat
Onaga,Mortal Kombat
Quan Chi,Mortal Kombat
Raiden,Mortal Kombat
Rain,Mortal Kombat
Reptile,Mortal Kombat
Scorpion,Mortal Kombat
Shang Tsung,Mortal Kombat
Shao Kahn,Mortal Kombat
Sheeva,Mortal Kombat
Shujinko,Mortal Kombat
Sindel,Mortal Kombat
Skarlet,Mortal Kombat
Smoke,Mortal Kombat
Sonya Blade,Mortal Kombat
Stryker,Mortal Kombat
Sub-Zero,Mortal Kombat
Takeda,Mortal Kombat
Tanya,Mortal Kombat
Triborg,Mortal Kombat
All For One,My Hero Academia
All Might,My Hero Academia
Dabi,My Hero Academia
Endeavor,My Hero Academia
Izuku Midoriya,My Hero Academia
Tomura Shigaraki,My Hero Academia
Aslan,Narnia
The White Witch,Narnia
Hagoromo Otsutsuki,Naruto
Hashirama Senju,Naruto
Isshiki Otsutsuki,Naruto
Itachi Uchiha,Naruto
Kaguya Otsutsuki,Naruto
Kakashi Hatake,Naruto
Killer Bee,Naruto
Madara Uchiha,Naruto
Minato Namikaze,Naruto
Nagato (Pain),Naruto
Naruto (Baryon Mode),Naruto
Naruto Uzumaki,Naruto
Obito Uchiha,Naruto
Sasuke Uchiha,Naruto
Arthur Morgan,Needs Review / Unknown
Ash Williams,Needs Review / Unknown
Celebrimbor,Needs Review / Unknown
Cobra,Needs Review / Unknown
Colonel Hans Landa,Needs Review / Unknown
Commander Rourke,Needs Review / Unknown
Conan the Barbarian,Needs Review / Unknown
Condiment Man,Needs Review / Unknown
Dash Parr,Needs Review / Unknown
Frank Booth,Needs Review / Unknown
Hannibal Lecter,Needs Review / Unknown
Jack Skellington,Needs Review / Unknown
Jack-Jack Parr,Needs Review / Unknown
Judy Hopps,Needs Review / Unknown
Keyser Soze,Needs Review / Unknown
King Kong,Needs Review / Unknown
Kovu,Needs Review / Unknown
Martin Riggs,Needs Review / Unknown
Merlin,Needs Review / Unknown
Mike Tyson,Needs Review / Unknown
Mor'du,Needs Review / Unknown
Mr. Incredible,Needs Review / Unknown
Nemesis,Needs Review / Unknown
Odin,Needs Review / Unknown
Spawn,Needs Review / Unknown
Sun Wukong,Needs Review / Unknown
The Beast,Needs Review / Unknown
The Mask,Needs Review / Unknown
Vecna,Needs Review / Unknown
Winter Soldier,Needs Review / Unknown
Aang (Nick),Nickelodeon
Cosmo,Nickelodeon
Danny Phantom,Nickelodeon
Jimmy Neutron,Nickelodeon
Korra,Nickelodeon
Patrick Star,Nickelodeon
Sheen Estevez,Nickelodeon
SpongeBob,Nickelodeon
Squidward,Nickelodeon
Timmy Turner,Nickelodeon
Wanda,Nickelodeon
Nurse Ratched,One Flew Over the Cuckoo's Nest
Charlotte Linlin,One Piece
Dracule Mihawk,One Piece
Gol D. Roger,One Piece
Kaido,One Piece
Marshall D. Teach,One Piece
Monkey D. Dragon,One Piece
Monkey D. Luffy,One Piece
Roronoa Zoro,One Piece
Shanks,One Piece
Silvers Rayleigh,One Piece
Whitebeard,One Piece
Garou,One Punch Man
Saitama,One Punch Man
Saitama (Serious Mode),One Punch Man
Ainz Ooal Gown,Overlord
Dr. Doofenshmirtz,Phineas and Ferb
Perry the Platypus,Phineas and Ferb
Captain Barbossa,Pirates of the Caribbean
Davy Jones,Pirates of the Caribbean
Jack Sparrow,Pirates of the Caribbean
Johnny Utah,Point Break
Arceus,Pokemon
Blastoise,Pokemon
Charizard,Pokemon
Gengar,Pokemon
Lucario,Pokemon
Mewtwo,Pokemon
Pikachu,Pokemon
Rayquaza,Pokemon
Popeye,Popeye
Dutch,Predator
Alex Mercer,Prototype
John Rambo,Rambo
Reinhard van Astrea,Re:Zero
Wiz Khalifa,Real World / Music
Albert Wesker,Resident Evil
Leon,Resident Evil
Beth Smith,Rick and Morty
Evil Morty,Rick and Morty
Jerry Smith,Rick and Morty
Morty Smith,Rick and Morty
Rick Sanchez,Rick and Morty
Summer Smith,Rick and Morty
Riddick,Riddick
Dalton,Road House
Clarence Boddicker,RoboCop
RoboCop,RoboCop
Clubber Lang,Rocky
Ivan Drago,Rocky
Aku,Samurai Jack
Samurai Jack,Samurai Jack
SCP-096,SCP
SCP-173,SCP
SCP-682,SCP
The Scarlet King,SCP
Sekiro,Sekiro
Ban,Seven Deadly Sins
Escanor,Seven Deadly Sins
Meliodas,Seven Deadly Sins
John Shaft,Shaft
Sherlock Holmes,Sherlock Holmes
Shrek,Shrek
Antares,Solo Leveling
Sung Jin-Woo,Solo Leveling
Knuckles,Sonic
Shadow the Hedgehog,Sonic
Sonic the Hedgehog,Sonic
Butters Stotch,South Park
Chef,South Park
Eric Cartman,South Park
Kenny McCormick,South Park
Kyle Broflovski,South Park
Mr Garrison,South Park
Randy Marsh,South Park
Stan Marsh,South Park
SpongeBob SquarePants,SpongeBob SquarePants
Ahsoka Tano,Star Wars
Anakin Skywalker,Star Wars
Asajj Ventress,Star Wars
Boba Fett,Star Wars
Captain Rex,Star Wars
Count Dooku,Star Wars
Darth Maul,Star Wars
Darth Vader,Star Wars
General Grievous,Star Wars
Grand Admiral Thrawn,Star Wars
Han Solo,Star Wars
Kylo Ren,Star Wars
Leia Organa,Star Wars
Luke Skywalker,Star Wars
Mace Windu,Star Wars
Obi-Wan Kenobi,Star Wars
Palpatine,Star Wars
Poe Dameron,Star Wars
Qui-Gon Jinn,Star Wars
Rey,Star Wars
Savage Opress,Star Wars
The Mandalorian,Star Wars
Yoda,Star Wars
A.K.I,Street Fighter
Abel,Street Fighter
Akuma,Street Fighter
Alex,Street Fighter
Balrog,Street Fighter
Blanka,Street Fighter
C. Viper,Street Fighter
Cammy,Street Fighter
Chun-Li,Street Fighter
Decapre,Street Fighter
Dee Jay,Street Fighter
Dhalsim,Street Fighter
Dudley,Street Fighter
E. Honda,Street Fighter
Elena,Street Fighter
F.A.N.G,Street Fighter
Falke,Street Fighter
Fei Long,Street Fighter
G,Street Fighter
Gill,Street Fighter
Guile,Street Fighter
Hakan,Street Fighter
Hugo,Street Fighter
Ibuki,Street Fighter
Jamie,Street Fighter
JP,Street Fighter
Juri,Street Fighter
Kage,Street Fighter
Karin,Street Fighter
Ken Masters,Street Fighter
Kimberly,Street Fighter
Laura,Street Fighter
Lily,Street Fighter
Luke,Street Fighter
M. Bison,Street Fighter
Makoto,Street Fighter
Manon,Street Fighter
Marisa,Street Fighter
Menat,Street Fighter
Necalli,Street Fighter
Oro,Street Fighter
Poison,Street Fighter
Q,Street Fighter
Rashid,Street Fighter
Remy,Street Fighter
Rolento,Street Fighter
Rose,Street Fighter
Rufus,Street Fighter
Ryu,Street Fighter
Sagat,Street Fighter
Sean,Street Fighter
Seth,Street Fighter
T. Hawk,Street Fighter
Urien,Street Fighter
Vega,Street Fighter
Zangief,Street Fighter
Zeku,Street Fighter
Bobby Singer,Supernatural
Castiel,Supernatural
Crowley,Supernatural
Dean Winchester,Supernatural
Jack Kline,Supernatural
Lucifer (Supernatural),Supernatural
Michael (Supernatural),Supernatural
Rowena,Supernatural
Sam Winchester,Supernatural
Bryan Mills,Taken
Casey Jones,Teenage Mutant Ninja Turtles
Donatello,Teenage Mutant Ninja Turtles
Krang,Teenage Mutant Ninja Turtles
Master Splinter,Teenage Mutant Ninja Turtles
Michelangelo,Teenage Mutant Ninja Turtles
Raphael,Teenage Mutant Ninja Turtles
Shredder,Teenage Mutant Ninja Turtles
6teen Jonesy,Teletoon
6teen Nikki,Teletoon
Bling Bling Boy,Teletoon
Detentionaire Lee Ping,Teletoon
Dukey,Teletoon
Johnny Test,Teletoon
Total Drama Duncan,Teletoon
Total Drama Gwen,Teletoon
Total Drama Owen,Teletoon
Sarah Connor,Terminator
The Terminator,Terminator
Rimuru Tempest,That Time I Got Reincarnated as a Slime
Anton Chigurh,The Big Lebowski / Crime Film
A-Train,The Boys
Billy Butcher,The Boys
Black Noir,The Boys
Homelander,The Boys
Homelander (TV),The Boys
Queen Maeve,The Boys
Soldier Boy,The Boys
Soldier Boy (Comics),The Boys
Starlight,The Boys
Stormfront,The Boys
Stormfront (Comics),The Boys
The Deep,The Boys
Translucent,The Boys
Dovahkiin,The Elder Scrolls
Ellie,The Last of Us
Joel Miller,The Last of Us
Ganondorf,The Legend of Zelda
Link,The Legend of Zelda
Agent Smith,The Matrix
Neo,The Matrix
Anos Voldigoad,The Misfit of Demon King Academy
Scorpion King,The Mummy
Bart Simpson,The Simpsons
Homer Simpson,The Simpsons
Krusty the Clown,The Simpsons
Lisa Simpson,The Simpsons
Marge Simpson,The Simpsons
Milhouse,The Simpsons
Moe Szyslak,The Simpsons
Mr Burns,The Simpsons
Ned Flanders,The Simpsons
Sideshow Bob,The Simpsons
Ciri,The Witcher
Geralt of Rivia,The Witcher
Yennefer of Vengerberg,The Witcher
Lara Croft,Tomb Raider
Bumblebee,Transformers
Devastator,Transformers
Grimlock,Transformers
Megatron,Transformers
Optimus Prime,Transformers
Primus,Transformers
Starscream,Transformers
Unicron,Transformers
Captain Amelia,Treasure Planet
Jim Hawkins,Treasure Planet
Long John Silver,Treasure Planet
Harry Tasker,True Lies
Nathan Drake,Uncharted
Casey Ryback,Under Siege
Apex Bloodhound,Video Game
Apex Revenant,Video Game
Apex Wraith,Video Game
Arbiter (Elite),Video Game
Atreus (Ragnarok),Video Game
Bloodborne Hunter,Video Game
Bowser (Giga),Video Game
Ciri (Full Power),Video Game
Cloud (Limit Break),Video Game
Cortana (AI),Video Game
Dark Samus,Video Game
Diablo (Prime Evil),Video Game
Doomfist,Video Game
Elden Ring Tarnished,Video Game
Fortnite Jonesy,Video Game
Fortnite Midas,Video Game
Fortnite Peely,Video Game
Ganondorf (Demon King),Video Game
Genji,Video Game
Geralt (Master),Video Game
Knuckles (Master Emerald),Video Game
Kratos (Ragnarok),Video Game
Lady Maria (Nightmare),Video Game
Lilith,Video Game
Link (TOTK),Video Game
Luigi (Poltergust),Video Game
Malenia (Goddess),Video Game
Mario (Fire Flower),Video Game
Master Chief (Mjolnir),Video Game
Noctis (Armiger),Video Game
Odin (Ragnarok),Video Game
Overwatch Tracer,Video Game
Radahn (Starscourge),Video Game
Raiden (Cyborg),Video Game
Reaper,Video Game
Ridley,Video Game
Samus (Power Suit),Video Game
Sephiroth (Safer),Video Game
Shadow (Chaos Control),Video Game
Sigma,Video Game
Solid Snake (Old Snake),Video Game
Sonic (Super),Video Game
Thor (Ragnarok),Video Game
Tyrael,Video Game
Yennefer (Mage),Video Game
Zelda (Sage),Video Game
Arthas Menethil,Warcraft
Yusuke Urameshi,Yu Yu Hakusho
Link (BOTW),Zelda
Zelda (BOTW),Zelda
